RECEIPTID	PROBLEMRECEIPT	RECEIPTDATE	ITEMSCLEARLYMARKED	PERSON_ID	CHILDORADULT	ITEM_ID	FOOD_ID	FOOD_SHARE	FOOD_PRICE	FOOD_CATEGORY	FOOD_QUANTITY	COMB_ID	RESTAURANT	FOODNAME	CALORIESCAL	FATG	SATFATG	CHOLESTEROLMG	SODIUMMG	CARBOHYDRATESG	SUGARG	PROTEING	COMBNUM	PRICEOFTHECOMBOMEAL	LARGE	ROUND	RECEIPTID3	NEMSLOCATIONINDICATOR
B103-001	No	 	Yes	900030	Adult	900700	36	0	4.39	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-001	No	 	Yes	900030	Adult	901032	36	0	0	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-002	No	 	Yes	900031	Adult	900701	256	0	1	Sandwich	2	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-003	No	 	Yes	900032	Adult	900704	274	0	 	Side Item	1	900032	Burger King	French Fries - large (Salted)	500	22	3.5	0	710	72	0	5	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900706	282	0	2.49	wraps	1	0	Burger King	Honey Mustard Grilled Chicken Wrap	370	19	5	55	950	29	6	19	 	 	 	1	 	B103
B103-003	No	 	Yes	900032	Adult	900705	900023	0	 	cold beverages	1	900032	Burger King	GENERIC DRINK 40 fl oz- LARGE	 	 	 	 	 	 	 	 	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900703	42	0	 	Burger	1	900032	Burger King	DOUBLE WHOPPER Sandwich with Cheese	990	65	24	160	1480	53	11	52	1	8.19	1	1	 	B103
B103-003	No	 	Yes	900032	Adult	900702	196	0	1.89	Dessert	4	0	Burger King	HERSHEY'S Sundae Pie	310	19	12	10	220	32	22	3	 	 	 	1	 	B103
B103-004	No	 	Yes	900033	Adult	900708	267	0	1	Side Item	1	0	Burger King	Onion Rings - value	150	8	1.5	0	400	19	2	1	 	 	 	1	 	B103
B103-004	No	 	Yes	900033	Adult	900707	48	0	1.89	Burger	2	0	Burger King	WHOPPER JR. Sandwich	340	19	5	40	510	28	6	14	 	 	 	1	 	B103
B103-005	Yes	 	Yes	900034	Adult	900710	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-005	Yes	 	Yes	900034	Adult	900709	50	0	2.09	Burger	2	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-006	No	 	Yes	900035	Adult	900713	900022	0	 	cold beverages	1	900035	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	7.39	0	1	 	B103
B103-006	No	 	Yes	900035	Adult	900712	273	0	 	Side Item	1	900035	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	7.39	0	1	 	B103
B103-006	No	 	Yes	900035	Adult	900711	38	0	 	Burger	1	900035	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	7.39	0	1	 	B103
B103-007	No	 	Yes	900036	Adult	900714	56	0	1	Burger	2	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-008	No	 	Yes	900037	Adult	900715	256	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-009	No	 	Yes	900038	Adult	900716	900020	0	1	cold beverages	2	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-010	No	 	Yes	900039	Adult	900717	74	0	4.29	chicken	1	0	Burger King	Chicken Nuggets- 20 pc	950	57	11	100	1790	67	0	42	 	 	 	1	 	B103
B103-011	No	 	Yes	900040	Adult	900718	71	0	.54	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900720	83	0	3.49	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 20 fl oz- LARGE	450	1.5	0	5	95	104	85	4	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900724	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900722	253	0	4.49	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900721	273	0	1.99	Side Item	1	0	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900719	256	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	900723	221	0	.4	Extra	2	0	Burger King	American Cheese (slice)- may vary	45	4	2.5	10	220	1	0	2	 	 	 	1	 	B103
B103-012	No	 	Yes	900041	Adult	901033	253	0	0	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-013	No	 	Yes	900043	Child	900727	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-013	No	 	Yes	900042	Adult	900725	56	0	1	Burger	1	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-013	No	 	Yes	900043	Child	900726	71	0	1	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-014	No	 	Yes	900044	Adult	900728	78	0	1	cold beverages	1	0	Burger King	Smoothie: Strawberry Banana 12 fl oz- SMALL	200	0	0	0	20	48	40	1	 	 	 	1	 	B103
B103-015	No	 	Yes	900045	Adult	900729	900021	0	1.79	cold beverages	1	0	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-016	No	 	Yes	900046	Adult	900730	279	0	2.49	wraps	1	0	Burger King	Ranch Crispy Chicken Wrap	370	23	6	35	1010	29	1	14	 	 	 	1	 	B103
B103-017	No	 	Yes	900047	Adult	900731	38	0	 	Burger	1	900046	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	6.99	0	1	 	B103
B103-017	No	 	Yes	900047	Adult	900733	900021	0	 	cold beverages	1	900046	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	6.99	0	1	 	B103
B103-017	No	 	Yes	900047	Adult	900732	272	0	 	Side Item	1	900046	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	6.99	0	1	 	B103
B103-018	No	 	Yes	900072	Adult	900810	236	0	5.99	Salad	1	0	Burger King	Chicken Caesar Garden Fresh Salad with TENDERGRILL and dressing	530	32	5	95	1640	26	6	35	 	 	 	1	 	B103
B103-019	No	 	Yes	900073	Adult	900811	81	0	1	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 12 fl oz- SMALL	210	.5	0	0	40	51	41	2	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900812	50	0	2.09	Burger	1	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900814	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-020	No	 	Yes	900074	Adult	900813	71	0	1	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-021	No	 	Yes	900075	Adult	900817	900022	0	 	cold beverages	1	900074	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	8.19	0	1	 	B103
B103-021	No	 	Yes	900075	Adult	900816	273	0	 	Side Item	1	900074	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	8.19	0	1	 	B103
B103-021	No	 	Yes	900075	Adult	900815	63	0	 	Burger	1	900074	Burger King	Avocado Swiss Whopper	730	39	15	100	1510	58	10	38	1	8.19	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900818	50	0	 	Burger	1	900075	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	1	5.39	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900819	272	0	 	Side Item	1	900075	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	5.39	0	1	 	B103
B103-022	No	 	Yes	900076	Adult	900820	900021	0	 	cold beverages	1	900075	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	5.39	0	1	 	B103
B103-023	No	 	Yes	900077	Adult	900823	272	0	1.79	Side Item	1	0	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	 	 	 	1	 	B103
B103-023	No	 	Yes	900077	Adult	900821	253	0	4.49	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-023	No	 	Yes	900077	Adult	900822	900060	0	.2	Extra	1	0	Burger King	Tomato	0	0	0	0	0	1	1	0	 	 	 	1	 	B103
B103-023	No	 	Yes	900077	Adult	900824	900021	0	1.79	cold beverages	1	0	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-024	No	 	Yes	900078	Adult	900826	272	0	 	Side Item	1	900077	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	3.79	0	1	 	B103
B103-024	No	 	Yes	900078	Adult	900827	900021	0	 	cold beverages	1	900077	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	3.79	0	1	 	B103
B103-024	No	 	Yes	900078	Adult	900825	36	0	 	Burger	1	900077	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	1	3.79	0	1	 	B103
B103-025	No	 	Yes	900079	Adult	900829	273	0	 	Side Item	1	900078	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	6.99	0	1	 	B103
B103-025	No	 	Yes	900079	Adult	900828	253	0	 	Sandwich	1	900078	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	1	6.99	0	1	 	B103
B103-025	No	 	Yes	900079	Adult	900830	900022	0	 	cold beverages	1	900078	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	6.99	0	1	 	B103
B103-026	No	 	Yes	900048	Adult	900760	55	0	1.49	Burger	1	0	Burger King	Double Cheeseburger	370	18	9	70	720	32	7	22	 	 	 	1	 	B103
B103-026	No	 	Yes	900048	Adult	900761	900059	0	.2	Extra	1	0	Burger King	Lettuce	0	0	0	0	0	0	0	0	 	 	 	1	 	B103
B103-027	No	 	Yes	900049	Adult	900762	74	0	4.29	chicken	1	0	Burger King	Chicken Nuggets- 20 pc	950	57	11	100	1790	67	0	42	 	 	 	1	 	B103
B103-028	No	 	Yes	900050	Adult	900763	71	0	1	chicken	2	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-028	No	 	Yes	900050	Adult	900764	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-029	No	 	Yes	900051	Adult	900766	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-029	No	 	Yes	900051	Adult	900765	56	0	1	Burger	2	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-030	No	 	Yes	900052	Adult	900768	30	0	1.99	Breakfast	1	0	Burger King	Cinnabon Roll- One	300	11	5	5	280	45	20	6	 	 	 	1	 	B103
B103-030	No	 	Yes	900052	Adult	901034	253	0	0	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-030	No	 	Yes	900052	Adult	900767	253	0	4.49	Sandwich	1	0	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	 	 	 	1	 	B103
B103-031	No	 	Yes	900053	Adult	900769	71	0	0	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-031	No	 	Yes	900053	Adult	900770	276	0	0	Side Item	1	0	Burger King	Cheesy Tots- small  (8 pc)	280	14	4	15	700	27	1	12	 	 	 	1	 	B103
B103-032	No	 	Yes	900054	Adult	900771	900353	0	0	salads	1	0	Burger King	Generic Full-Sized Salad	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-033	No	 	Yes	900055	Adult	900772	279	0	2.49	wraps	1	0	Burger King	Ranch Crispy Chicken Wrap	370	23	6	35	1010	29	1	14	 	 	 	1	 	B103
B103-034	No	 	Yes	900056	Adult	900773	55	0	1.49	Burger	1	0	Burger King	Double Cheeseburger	370	18	9	70	720	32	7	22	 	 	 	1	 	B103
B103-034	No	 	Yes	900056	Adult	900774	256	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- Spicy	480	27	5	45	930	40	6	17	 	 	 	1	 	B103
B103-035	No	 	Yes	900057	Adult	900775	19	0	1.25	Breakfast	1	0	Burger King	DOUBLE CROISSAN'WICH w/ Sausage, Egg, & Cheese	660	48	18	235	1420	27	4	29	 	 	 	1	 	B103
B103-036	No	 	Yes	900058	Adult	900777	272	0	 	Side Item	1	900057	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	7.39	0	1	 	B103
B103-036	No	 	Yes	900058	Adult	900778	900021	0	 	cold beverages	1	900057	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	7.39	0	1	 	B103
B103-036	No	 	Yes	900058	Adult	900776	42	0	 	Burger	1	900057	Burger King	DOUBLE WHOPPER Sandwich with Cheese	990	65	24	160	1480	53	11	52	1	7.39	0	1	 	B103
B103-037	No	 	Yes	900059	Adult	900779	50	0	 	Burger	1	900058	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	1	5.39	0	1	 	B103
B103-037	No	 	Yes	900059	Adult	900781	900021	0	 	cold beverages	1	900058	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	5.39	0	1	 	B103
B103-037	No	 	Yes	900059	Adult	900780	272	0	 	Side Item	1	900058	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	5.39	0	1	 	B103
B103-038	No	 	Yes	900060	Adult	900782	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-038	No	 	Yes	900060	Adult	900783	50	0	2.09	Burger	1	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-039	No	 	Yes	900061	Adult	900784	279	0	2.49	wraps	1	0	Burger King	Ranch Crispy Chicken Wrap	370	23	6	35	1010	29	1	14	 	 	 	1	 	B103
B103-039	No	 	Yes	900061	Adult	900785	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-039	No	 	Yes	900061	Adult	900786	900020	0	1	cold beverages	1	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-040	No	 	Yes	900062	Adult	900789	900022	0	 	cold beverages	1	900061	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	7.39	0	1	 	B103
B103-040	No	 	Yes	900062	Adult	900787	38	0	 	Burger	1	900061	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	7.39	0	1	 	B103
B103-040	No	 	Yes	900062	Adult	900788	273	0	 	Side Item	1	900061	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	7.39	0	1	 	B103
B103-041	No	 	Yes	900063	Adult	900792	900021	0	 	cold beverages	1	900062	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	6.99	0	1	 	B103
B103-041	No	 	Yes	900063	Adult	900791	272	0	 	Side Item	1	900062	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	6.99	0	1	 	B103
B103-041	No	 	Yes	900063	Adult	900790	38	0	 	Burger	1	900062	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	6.99	0	1	 	B103
B103-042	No	 	Yes	900064	Adult	900793	241	0	1.59	Salad	2	0	Burger King	Side Garden Salad and Avocado Ranch Dressing	230	21	5	30	520	7	3	5	 	 	 	1	 	B103
B103-043	No	 	Yes	900065	Adult	900796	900020	0	1	cold beverages	1	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-043	No	 	Yes	900065	Adult	900794	50	0	2.09	Burger	1	0	Burger King	WHOPPER JR. Sandwich with Cheese	380	23	8	55	730	29	6	16	 	 	 	1	 	B103
B103-043	No	 	Yes	900065	Adult	900795	267	0	1	Side Item	1	0	Burger King	Onion Rings - value	150	8	1.5	0	400	19	2	1	 	 	 	1	 	B103
B103-044	No	 	Yes	900066	Adult	900798	900020	0	1	cold beverages	1	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-044	No	 	Yes	900066	Adult	900797	52	0	1	Burger	2	0	Burger King	Hamburger	240	8	3.5	30	460	31	7	12	 	 	 	1	 	B103
B103-045	No	 	Yes	900068	Adult	900801	900021	0	1.79	cold beverages	1	0	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-045	No	 	Yes	900068	Adult	900800	53	0	1.2	Burger	1	0	Burger King	Cheeseburger	280	12	6	40	690	32	7	15	 	 	 	1	 	B103
B103-045	No	 	Yes	900068	Adult	900799	275	0	1.49	Side Item	1	0	Burger King	Mozzarella Sticks (4 pc)	280	15	5	35	650	24	2	11	 	 	 	1	 	B103
B103-045	No	 	Yes	900068	Adult	900802	272	0	1.79	Side Item	1	0	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	 	 	 	1	 	B103
B103-046	No	 	Yes	900067	Adult	900803	900020	0	1	cold beverages	1	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-047	No	 	Yes	900069	Adult	900804	38	0	4.79	Burger	1	0	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	 	 	 	1	 	B103
B103-047	No	 	Yes	900069	Adult	900806	78	0	2.49	cold beverages	1	0	Burger King	Smoothie: Strawberry Banana 12 fl oz- SMALL	200	0	0	0	20	48	40	1	 	 	 	1	 	B103
B103-047	No	 	Yes	900069	Adult	900805	272	0	1.79	Side Item	1	0	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	 	 	 	1	 	B103
B103-048	No	 	Yes	900070	Adult	900807	82	0	2.49	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 16 fl oz- MEDIUM	330	1	0	0	65	78	63	3	 	 	 	1	 	B103
B103-049	No	 	Yes	900071	Adult	900808	38	0	4.79	Burger	1	0	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	 	 	 	1	 	B103
B103-049	No	 	Yes	900071	Adult	900809	267	0	1	Side Item	1	0	Burger King	Onion Rings - value	150	8	1.5	0	400	19	2	1	 	 	 	1	 	B103
B103-050	No	 	Yes	900023	Adult	900661	900060	0	.2	Extra	1	0	Burger King	Tomato	0	0	0	0	0	1	1	0	 	 	 	1	 	B103
B103-050	No	 	Yes	900023	Adult	900659	273	0	 	Side Item	1	900023	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	6.99	0	1	 	B103
B103-050	No	 	Yes	900023	Adult	900660	900022	0	 	cold beverages	1	900023	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	6.99	0	1	 	B103
B103-050	No	 	Yes	900023	Adult	900658	253	0	 	Sandwich	1	900023	Burger King	Original Chicken Sandwich	630	39	7	65	1390	46	4	24	1	6.99	0	1	 	B103
B103-051	No	 	Yes	900024	Adult	900662	48	0	1.89	Burger	1	0	Burger King	WHOPPER JR. Sandwich	340	19	5	40	510	28	6	14	 	 	 	1	 	B103
B103-051	No	 	Yes	900024	Adult	900663	71	0	1	chicken	1	0	Burger King	Chicken Nuggets- 4pc	190	11	2	20	360	13	0	8	 	 	 	1	 	B103
B103-052	No	 	Yes	900025	Adult	900665	272	0	 	Side Item	1	900025	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	1	7.69	0	1	 	B103
B103-052	No	 	Yes	900025	Adult	900664	63	0	 	Burger	1	900025	Burger King	Avocado Swiss Whopper	730	39	15	100	1510	58	10	38	1	7.69	0	1	 	B103
B103-052	No	 	Yes	900025	Adult	900666	900021	0	 	cold beverages	1	900025	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	7.69	0	1	 	B103
B103-053	No	 	Yes	900026	Adult	900667	55	0	1.49	Burger	2	0	Burger King	Double Cheeseburger	370	18	9	70	720	32	7	22	 	 	 	1	 	B103
B103-053	No	 	Yes	900026	Adult	900669	189	0	2.49	cold beverages	1	0	Burger King	Mocha Frappe: 12 fl oz- SMALL	410	19	11	5	230	58	39	3	 	 	 	1	 	B103
B103-053	No	 	Yes	900026	Adult	900668	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-054	No	 	Yes	900027	Adult	900670	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-054	No	 	Yes	900027	Adult	900671	74	0	4.29	chicken	1	0	Burger King	Chicken Nuggets- 20 pc	950	57	11	100	1790	67	0	42	 	 	 	1	 	B103
B103-055	No	 	Yes	900028	Adult	900673	221	0	.4	Extra	1	0	Burger King	American Cheese (slice)- may vary	45	4	2.5	10	220	1	0	2	 	 	 	1	 	B103
B103-055	No	 	Yes	900028	Adult	900672	36	0	4.39	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-056	No	 	Yes	900029	Adult	900675	38	0	4.79	Burger	1	0	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	 	 	 	1	 	B103
B103-057	No	 	Yes	900972	Adult	902903	60	0	2.89	Burger	1	0	Burger King	BK Double Stacker	490	30	11	90	820	32	7	26	 	 	 	1	 	B103
B103-057	No	 	Yes	900972	Adult	902904	271	0	1	Side Item	1	0	Burger King	French Fries - value (Salted)	240	10	1.5	0	330	34	0	2	 	 	 	1	 	B103
B103-058	No	 	Yes	900013	Adult	900676	65	0	3.99	Burger	1	0	Burger King	BK VEGGIE Burger **	410	16	2.5	5	1030	44	8	22	 	 	 	1	 	B103
B103-058	No	 	Yes	900013	Adult	900677	233	0	1	hot beverages	1	0	Burger King	Seattle's Best Coffee- Regular- 12 fl oz- SMALL	0	0	0	0	0	0	0	0	 	 	 	1	 	B103
B103-059	No	 	Yes	900014	Adult	900680	273	0	 	Side Item	1	900014	Burger King	French Fries - medium (Salted)	410	18	3	0	570	58	0	4	1	7.39	0	1	 	B103
B103-059	No	 	Yes	900014	Adult	900681	900022	0	 	cold beverages	1	900014	Burger King	GENERIC DRINK 30 fl oz- MEDIUM	 	 	 	 	 	 	 	 	1	7.39	0	1	 	B103
B103-059	No	 	Yes	900014	Adult	900678	36	0	 	Burger	1	900014	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	1	7.39	0	1	 	B103
B103-059	No	 	Yes	900014	Adult	900679	221	0	 	Extra	1	900014	Burger King	American Cheese (slice)- may vary	45	4	2.5	10	220	1	0	2	1	7.39	0	1	 	B103
B103-060	No	 	Yes	900015	Adult	900684	900023	0	 	cold beverages	1	900015	Burger King	GENERIC DRINK 40 fl oz- LARGE	 	 	 	 	 	 	 	 	1	7.79	1	1	 	B103
B103-060	No	 	Yes	900015	Adult	900682	38	0	 	Burger	1	900015	Burger King	WHOPPER Sandwich with Cheese	710	42	15	85	1380	59	14	29	1	7.79	1	1	 	B103
B103-060	No	 	Yes	900015	Adult	900683	274	0	 	Side Item	1	900015	Burger King	French Fries - large (Salted)	500	22	3.5	0	710	72	0	5	1	7.79	1	1	 	B103
B103-061	No	 	Yes	900016	Adult	900686	56	0	1	Burger	2	0	Burger King	BK Bacon Burger	320	17	5	40	500	31	7	14	 	 	 	1	 	B103
B103-061	No	 	Yes	900016	Adult	900685	74	0	4.29	chicken	1	0	Burger King	Chicken Nuggets- 20 pc	950	57	11	100	1790	67	0	42	 	 	 	1	 	B103
B103-062	No	 	Yes	900017	Adult	900688	267	0	1	Side Item	1	0	Burger King	Onion Rings - value	150	8	1.5	0	400	19	2	1	 	 	 	1	 	B103
B103-062	No	 	Yes	900017	Adult	900687	55	0	1.49	Burger	1	0	Burger King	Double Cheeseburger	370	18	9	70	720	32	7	22	 	 	 	1	 	B103
B103-062	No	 	Yes	900017	Adult	900689	900020	0	1	cold beverages	1	0	Burger King	GENERIC DRINK 16 fl oz- VALUE	 	 	 	 	 	 	 	 	 	 	 	1	 	B103
B103-063	No	 	Yes	900018	Adult	900691	221	0	.4	Extra	2	0	Burger King	American Cheese (slice)- may vary	45	4	2.5	10	220	1	0	2	 	 	 	1	 	B103
B103-063	No	 	Yes	900018	Adult	900690	36	0	4.39	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-063	No	 	Yes	900018	Adult	901035	36	0	0	Burger	1	0	Burger King	WHOPPER Sandwich	630	35	10	65	980	57	13	25	 	 	 	1	 	B103
B103-064	No	 	Yes	900019	Adult	900692	48	0	.985	Burger	2	0	Burger King	WHOPPER JR. Sandwich	340	19	5	40	510	28	6	14	 	 	 	1	 	B103
B103-064	No	 	Yes	900019	Adult	900693	272	0	.935	Side Item	2	0	Burger King	French Fries - small (Salted)	340	15	2.5	0	480	49	0	4	 	 	 	1	 	B103
B103-065	No	 	Yes	900022	Adult	900695	79	0	 	cold beverages	1	0	Burger King	Smoothie: Strawberry Banana 16 fl oz- MEDIUM	310	.5	0	0	35	73	60	2	 	 	 	1	 	B103
B103-065	No	 	Yes	900022	Adult	900694	255	0	1	Sandwich	1	0	Burger King	Chicken Crisp Sandwich- classic	500	32	6	45	860	39	5	17	 	 	 	1	 	B103
B103-066	No	 	Yes	900020	Adult	900696	81	0	1	cold beverages	1	0	Burger King	Smoothie: Tropical Mango- 12 fl oz- SMALL	210	.5	0	0	40	51	41	2	 	 	 	1	 	B103
B103-067	No	 	Yes	900021	Adult	900697	60	0	 	Burger	1	900021	Burger King	BK Double Stacker	490	30	11	90	820	32	7	26	1	5.88	0	1	 	B103
B103-067	No	 	Yes	900021	Adult	900699	900021	0	 	cold beverages	1	900021	Burger King	GENERIC DRINK 20 fl oz- SMALL	 	 	 	 	 	 	 	 	1	5.88	0	1	 	B103
