receiptid,person_id,limit,age,age_std,gender,race,edu,city,caff,location,round,nsigns_ssb,num_kids,surveydate,days_since_ban,caloriescal,fatg,sugarg,black,caff_std,nsigns_ssb_std,days_since_ban_std,caloriescal_std,fatg_std,sugarg_std
B103-098,900563,Sometimes,30,-0.6696585347593059,F,Black,Associates Degree,New York,0,B103,1,12,0,2013-12-02,265,1775,94,17,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4933701767615819,-0.42199289121069505,-0.47754477768432235
B103-022,900076,Sometimes,22,-1.219168830851575,F,Other,Some College,New York,0,B103,1,12,0,2013-08-01,142,3580,196,30,non-Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.3289133097841984,-0.19045483538379976,-0.4538264593473362
B103-091,900582,Never,40,0.01722933535603033,F,White,High School,New York,1136.64000366212,B103,1,12,0,2013-12-02,265,22640,1372,185,non-Black,2.573036706643789,2.2680425648009814,0.18491034610003185,1.4076783160268431,2.4790427494439347,-0.1710311253294241
B103-081,900569,Never,20,-1.356546404874642,F,Other,Some High School,New York,0,B103,1,12,0,2013-12-02,265,5590,278,58,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.1457785160863918,-0.0043163983464917476,-0.40274085062151976
B103-080,900568,Sometimes,34,-0.39490338671317143,M,Other,High School,New York,0,B103,1,12,0,2013-12-02,265,1970,95,19,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.47560336841776485,-0.4197229102712157,-0.4738958056324783
B103-090,900578,Seldom,19,-1.4252351918861759,F,Other,High School,New York,100.89600025750002,B103,1,12,0,2013-12-02,265,35190,2021,243,non-Black,-0.13938981889264176,2.2680425648009814,0.18491034610003185,2.5511318786673765,3.9522603791660433,-0.06521093582594732
B103-024,900078,Sometimes,61,1.4596938625982365,M,Black,Some College,New York,75.77600097658,B103,1,12,0,2013-08-01,142,10990,622,85,Black,-0.20517456121029118,2.2680425648009814,-0.43058541862010247,0.3462254072808497,0.7765570448344101,-0.3534797279216254
B103-067,900021,Always,51,0.7728059924829002,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,2350,124,29,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.44098087010673676,-0.3538934630263141,-0.4556509453732582
B103-086,900574,Never,58,1.2536275015636356,F,Black,Some College,New York,0,B103,1,12,0,2013-12-02,265,2840,147,110,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.3963360696530426,-0.30168390141828866,-0.3078675772735751
B103-023,900077,Never,50,0.7041172054713666,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,15190,711,59,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,0.7288951254553709,0.9785853484480737,-0.40091636459559776
B103-099,900564,Never,63,1.5970714366213037,M,Other,High School,New York,0,B103,1,12,0,2013-12-02,265,1790,92,97,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4920034991966729,-0.42653285308965383,-0.3315858956105613
B103-082,900570,Seldom,35,-0.3262145997016378,F,Other,College Degree,New York,1.6,B103,1,12,1,2013-12-02,265,7690,422,111,non-Black,-0.39942811415941015,2.2680425648009814,0.18491034610003185,0.04555634300086878,0.3225608569385369,-0.30604309124765305
B103-097,900562,Never,27,-0.8757248957939068,F,Black,Some College,New York,1343.20000244142,B103,1,12,0,2013-12-02,265,17850,493,2175,Black,3.1139800458878875,2.2680425648009814,0.18491034610003185,0.9712526136325677,0.4837295036415719,3.459696066255382
B103-005,900034,Never,50,0.7041172054713666,M,Black,College Degree,New York,109.39200210572,B103,1,12,0,2013-08-01,142,7860,476,57,Black,-0.11714032413489532,2.2680425648009814,-0.43058541862010247,0.06104535540317083,0.4451398276704227,-0.4045653366474418
B103-079,900567,Sometimes,22,-1.219168830851575,F,Other,Some College,New York,184.17600059514,B103,1,12,1,2013-12-02,265,15740,702,218,non-Black,0.07870546451712557,2.2680425648009814,0.18491034610003185,0.7790066361687011,0.9581555199927594,-0.11082308647399765
B103-021,900075,Always,29,-0.7383473217708395,M,Black,Graduate Degree,New York,306.15999984743,B103,1,12,0,2013-08-01,142,11770,514,763,Black,0.39815953248692104,2.2680425648009814,-0.43058541862010247,0.41729264065611793,0.5313991033706386,0.8835217976534996
B103-105,200201,Never,27,-0.8757248957939068,M,Black,High School,New York,0,B103,1,12,0,2013-12-02,265,1770,89,21,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.49382573594988494,-0.4333427959080919,-0.4702468335806343
B103-103,200199,Never,31,-0.6009697477477722,F,Other,College Degree,New York,0,B103,1,12,0,2013-12-02,265,1790,102,9,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4920034991966729,-0.40383304369486017,-0.4921406658916984
B103-009,900038,Never,37,-0.18883702567857055,M,Black,College Degree,New York,146.59200191498002,B103,1,12,0,2013-08-01,142,7450,354,102,Black,-0.019720241661901335,2.2680425648009814,-0.43058541862010247,0.023689501962324715,0.16820215305394007,-0.3224634654809512
B103-013,900043,Often,52,0.8414947794944339,F,Black,Some High School,New York,17.04959964756,B103,1,12,1,2013-08-01,142,17910,936,163,Black,-0.35896840234335314,2.2680425648009814,-0.43058541862010247,0.9767193238922037,1.489331059830931,-0.21116981789970837
B103-013,900042,Often,52,0.8414947794944339,F,Black,Some High School,New York,17.04959964756,B103,1,12,1,2013-08-01,142,17910,936,163,Black,-0.35896840234335314,2.2680425648009814,-0.43058541862010247,0.9767193238922037,1.489331059830931,-0.21116981789970837
B103-088,900576,Always,51,0.7728059924829002,F,Other,College Degree,New York,954.4340214128999,B103,1,12,0,2013-12-02,265,28080,1321,851,non-Black,2.0958721392027604,2.2680425648009814,0.18491034610003185,1.9033267129005087,2.3632737215304873,1.0440765679346369
B103-093,900581,Seldom,19,-1.4252351918861759,F,Black,Some High School,New York,484.12800158693,B103,1,12,0,2013-12-02,265,22760,1300,614,Black,0.8642255942050246,2.2680425648009814,0.18491034610003185,1.418611736546115,2.31560412180142,0.6116733797911196
B103-063,900018,Never,47,0.49805084443676567,F,Black,Less than High School,New York,0,B103,1,12,0,2013-08-01,142,1855,104,33,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.4860812297487339,-0.3992930818159014,-0.4483530012695701
B103-087,900575,Sometimes,19,-1.4252351918861759,F,Other,High School,New York,224.72000148012,B103,1,12,0,2013-12-02,265,13590,809,172,non-Black,0.18488288199702263,2.2680425648009814,0.18491034610003185,0.5831161851984105,1.2010434805170516,-0.19474944366641025
B103-065,900022,Always,38,-0.12014823866703692,M,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,2860,139.5,94,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.3945138328998306,-0.3187087584643839,-0.3370593536883273
B103-102,200198,Never,21,-1.2878576178631085,F,Black,Some College,New York,6.80000019074,B103,1,12,0,2013-12-02,265,5230,260,90,Black,-0.38581025259922336,2.2680425648009814,0.18491034610003185,-0.17857877764420793,-0.04517605525712033,-0.34435729779201535
B103-084,900572,Seldom,24,-1.0817912568285077,M,Black,High School,New York,0,B103,1,12,0,2013-12-02,265,790,39,16,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.5831153368572732,-0.5468418428820602,-0.47936926371024435
B103-061,900016,Always,51,0.7728059924829002,F,Black,Less than High School,New York,0,B103,1,12,0,2013-08-01,142,8630,531,55,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,0.13120147040183305,0.5699887793417878,-0.4082143086992858
B103-011,900040,Always,45,0.36067327041369845,M,Other,College Degree,New York,0,B103,1,12,0,2013-08-01,142,3210,176,43,non-Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.3626246897186205,-0.23585445417338707,-0.43010814101035
B103-094,900559,Never,55,1.0475611405290346,F,Other,High School,New York,0,B103,1,12,0,2013-12-02,265,2230,126,25,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.4519142906260088,-0.34935350114735536,-0.46294888947694623
B103-059,900014,Sometimes,38,-0.12014823866703692,M,Black,High School,New York,0,B103,1,12,0,2013-08-01,142,2945,160,49,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.3867693266986796,-0.27217414920505695,-0.4191612248548179
B103-085,900573,Sometimes,35,-0.3262145997016378,M,Black,Some College,New York,170.49599999999998,B103,1,12,0,2013-12-02,265,15700,711,250,Black,0.04288001309125206,2.2680425648009814,0.18491034610003185,0.7753621626622771,0.9785853484480737,-0.052439533644493226
B103-003,900032,Never,36,-0.25752581269010416,M,Black,Some High School,New York,0,B103,1,12,0,2013-08-01,142,2530,144,46,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.4245807393278287,-0.30849384423672677,-0.42463468293258394
B103-012,900041,Often,49,0.6354284184598329,M,Black,Associates Degree,New York,0,B103,1,12,0,2013-08-01,142,4805,241.5,107,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.21730130864996305,-0.0871707026374886,-0.3133410353513411
B103-064,900019,Never,38,-0.12014823866703692,F,Black,Associates Degree,New York,0,B103,1,12,0,2013-08-01,142,1020,53,12,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.5621596141953351,-0.5150621097293491,-0.4866672078139324
B103-083,900571,Seldom,33,-0.463592173724705,M,Other,College Degree,New York,0,B103,1,12,0,2013-12-02,265,2320,123,67,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.44371422523655474,-0.35616344396579347,-0.38632047638822165
B103-101,900566,Never,32,-0.5322809607362387,M,Black,Graduate Degree,New York,0,B103,1,12,0,2013-12-02,265,7635,412,333,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,0.04054519192953577,0.29986104754374326,0.09899280650703388
B103-001,900030,Never,27,-0.8757248957939068,M,Black,Some College,New York,0,B103,1,12,0,2013-08-01,142,2420,130,62,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.4346030414704947,-0.3402735773894379,-0.3954429065178317
B103-017,900047,Sometimes,33,-0.463592173724705,M,Black,Some High School,New York,596.7360076904699,B103,1,12,1,2013-08-01,142,28980,1649,190,Black,1.159125629096839,2.2680425648009814,-0.43058541862010247,1.9853273667950488,3.107827469679719,-0.16190869519981402
B103-018,900072,Never,33,-0.463592173724705,F,Black,High School,New York,0,B103,1,12,0,2013-08-01,142,2990,146,100,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.38266929400395255,-0.30395388235776805,-0.32611243753279523
B103-014,900044,Often,50,0.7041172054713666,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,10120,401,756,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,0.2669581085161275,0.2748912572094703,0.8707503954720455
B103-008,900037,Never,28,-0.8070361087823732,M,Black,Associates Degree,New York,2.98200005292,B103,1,12,0,2013-08-01,142,13680,747,384,Black,-0.3958089055620048,2.2680425648009814,-0.43058541862010247,0.5913162505878645,1.0603046622693308,0.19204159382905656
B103-016,900046,Never,52,0.8414947794944339,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,4420,207,233,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.2523793661492941,-0.1654850450495267,-0.08345579608516746
B103-106,200202,Never,46,0.4293620574252321,M,Black,Some College,New York,0,B103,1,12,0,2013-12-02,265,2710,160,32,Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.40818060854892063,-0.27217414920505695,-0.4501774872954921
B103-092,900580,Always,45,0.36067327041369845,F,Other,College Degree,New York,5.364,B103,1,12,1,2013-12-02,265,7550,417,126,non-Black,-0.3895708778070306,2.2680425648009814,0.18491034610003185,0.032800685728384744,0.3112109522411401,-0.2786758008588229
B103-092,900579,Always,45,0.36067327041369845,F,Other,College Degree,New York,5.364,B103,1,12,1,2013-12-02,265,7550,417,126,non-Black,-0.3895708778070306,2.2680425648009814,0.18491034610003185,0.032800685728384744,0.3112109522411401,-0.2786758008588229
B103-089,900577,Often,50,0.7041172054713666,F,Black,Graduate Degree,New York,771.9680064697601,B103,1,12,0,2013-12-02,265,22520,1230,621,Black,1.618026593089226,2.2680425648009814,0.18491034610003185,1.396744895507571,2.1567054560378645,0.6244447819725737
B103-104,200200,Often,28,-0.8070361087823732,M,Asian,College Degree,New York,0,B103,1,12,0,2013-12-02,265,1400,72,22,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.527537115884307,-0.47193247187924114,-0.46842234755471224
B103-107,200203,Always,24,-1.0817912568285077,F,Other,Some College,New York,0,B103,1,12,0,2013-12-02,265,1680,91,32,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,-0.5020258013393389,-0.42880283402913316,-0.4501774872954921
B103-066,900020,Often,52,0.8414947794944339,F,Black,Some College,New York,0,B103,1,12,0,2013-08-01,142,2030,94.5,62,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.47013665815812883,-0.4208579007409554,-0.3954429065178317
B103-062,900017,Always,25,-1.013102469816974,F,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,1190,60,20,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.5466706017930331,-0.4991722431529935,-0.4720713196065563
B103-095,900560,Often,33,-0.463592173724705,M,Other,Some High School,New York,0,B103,1,12,0,2013-12-02,265,7970,465,71,non-Black,-0.40361822525500185,2.2680425648009814,0.18491034610003185,0.07106765754583687,0.42017003733614966,-0.3790225322845336
B103-019,900073,Often,39,-0.051459451655503294,M,Other,Graduate Degree,New York,0,B103,1,12,0,2013-08-01,142,1070,38.5,94,non-Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.5576040223123051,-0.5479768333517999,-0.3370593536883273
B103-006,900035,Seldom,55,1.0475611405290346,M,Black,Associates Degree,New York,0,B103,1,12,0,2013-08-01,142,22310,978,1255,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,1.377611409598845,1.5846702592890645,1.78116892240713
B103-020,900074,Often,43,0.2232956963906312,F,Black,Associates Degree,New York,0,B103,1,12,0,2013-08-01,142,15010,753,208,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,0.7124949946764628,1.073924547906207,-0.12906794673321778
B103-002,900031,Never,35,-0.3262145997016378,M,Black,High School,New York,0,B103,1,12,0,2013-08-01,142,840,46,13,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.5785597449742432,-0.5309519763057047,-0.48484272178801036
B103-004,900033,Often,18,-1.4939239788977094,F,Black,Some College,New York,0,B103,1,12,0,2013-08-01,142,920,48,8,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.5712707979613951,-0.5264120144267459,-0.49396515191762047
B103-007,900036,Seldom,51,0.7728059924829002,M,Black,High School,New York,0,B103,1,12,0,2013-08-01,142,29755,1449,1481,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,2.055939040982014,2.653831281783846,2.193502764265505
B103-025,900079,Often,28,-0.8070361087823732,M,Black,College Degree,New York,0,B103,1,12,0,2013-08-01,142,1690,89,19,Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.501114682962733,-0.4333427959080919,-0.4738958056324783
B103-058,900013,Always,64,1.6657602236328373,M,White,College Degree,New York,0,B103,1,12,0,2013-08-01,142,1440,62,35,non-Black,-0.40361822525500185,2.2680425648009814,-0.43058541862010247,-0.523892642377883,-0.4946322812740348,-0.4447040292177261
B103-096,900561,Never,40,0.01722933535603033,F,Black,High School,New York,143.68000183108,B103,1,12,1,2013-12-02,265,10360,463,515,Black,-0.02734624407559725,2.2680425648009814,0.18491034610003185,0.28882494955467153,0.41563007545719094,0.4310492632248403
B105-006,900096,Never,28,-0.8070361087823732,F,White,Some College,New York,0,B105,1,0,0,2013-09-01,173,940,37,71,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.5694485612081831,-0.551381804761019,-0.3790225322845336
B105-001,900091,Always,39,-0.051459451655503294,F,Other,High School,New York,0,B105,1,0,0,2013-09-01,173,670,29,7,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.5940487573765453,-0.5695416522768538,-0.49578963794354247
B105-005,900095,Seldom,42,0.15460690937909757,M,Other,High School,New York,0,B105,1,0,0,2013-09-01,173,340,15,0,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.6241156638045433,-0.6013213854295649,-0.5085610401249966
B105-002,900092,Always,45,0.36067327041369845,M,Other,College Degree,New York,1577.088,B105,1,0,0,2013-09-01,173,24360,1050,1344,non-Black,3.7264904794478473,-1.3159972322937037,-0.2754604697881987,1.5643906768030755,1.7481088869315786,1.943548178714189
B105-003,900093,Often,33,-0.463592173724705,M,Asian,Graduate Degree,New York,599.540304,B105,1,0,0,2013-09-01,173,11840,784,192,non-Black,1.1664695747730196,-1.3159972322937037,-0.2754604697881987,0.42367046929235996,1.1442939570300674,-0.15825972314797
B105-007,900097,Always,44,0.2919844834021648,M,Black,Some College,New York,0,B105,1,0,0,2013-09-01,173,430,19,7,Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.6159155984150892,-0.5922414616716475,-0.49578963794354247
B105-008,900099,Seldom,27,-0.8757248957939068,M,Other,College Degree,New York,0,B105,1,0,0,2013-09-01,173,950,57,0,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.5685374428315771,-0.5059821859714316,-0.5085610401249966
B105-011,900101,Never,30,-0.6696585347593059,M,White,High School,New York,0,B105,1,0,0,2013-09-01,173,2340,116,113,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.44189198848334277,-0.372053310542149,-0.30239411919580905
B105-009,900098,Often,43,0.2232956963906312,M,Black,Some College,New York,415.58400000003,B105,1,0,0,2013-09-01,173,10440,408,684,Black,0.6847212307140708,-1.3159972322937037,-0.2754604697881987,0.2961138965675196,0.2907811237858258,0.7393874016056605
B105-010,900100,Often,43,0.2232956963906312,M,White,College Degree,New York,0,B105,1,0,0,2013-09-01,173,1590,64,116,non-Black,-0.40361822525500185,-1.3159972322937037,-0.2754604697881987,-0.510225866728793,-0.490092319395076,-0.296920661118043
B105-004,900094,Never,33,-0.463592173724705,M,Black,High School,New York,151.552,B105,1,0,0,2013-09-01,173,6490,198,440,Black,-0.006730902280553902,-1.3159972322937037,-0.2754604697881987,-0.06377786219185155,-0.185914873504841,0.2942128112806893
B110-045,200220,Always,50,0.7041172054713666,M,Other,Associates Degree,New York,0,B110,1,0,0,2013-12-02,265,875,50,15,non-Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.5753708306561222,-0.5218720525477871,-0.48119374973616635
B110-052,200227,Sometimes,31,-0.6009697477477722,F,Other,Graduate Degree,New York,1551.04,B110,1,0,0,2013-12-02,265,25110,1028,1497,non-Black,3.658275470811614,-1.3159972322937037,0.18491034610003185,1.6327245550485259,1.6981693062630328,2.222694540680257
B110-001,900102,Never,46,0.4293620574252321,F,Native,Some High School,New York,0,B110,1,0,0,2013-04-01,20,4230,210,93,non-Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.2696906153048082,-0.15867510223108863,-0.3388838397142493
B110-041,200216,Never,41,0.08591812236756395,M,Black,College Degree,New York,0,B110,1,0,0,2013-12-02,265,3570,156,164,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.3298244281608044,-0.2812540729629744,-0.20934533187378637
B110-043,200218,Never,32,-0.5322809607362387,F,Black,College Degree,New York,0,B110,1,0,0,2013-12-02,265,920,40,53,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.5712707979613951,-0.5445718619425808,-0.4118632807511298
B110-047,200222,Often,32,-0.5322809607362387,F,Black,College Degree,New York,0,B110,1,0,0,2013-12-02,265,3370,168,156,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.34804679569292446,-0.254014301689222,-0.2239412200811625
B110-044,200219,Never,31,-0.6009697477477722,M,Black,College Degree,New York,0,B110,1,0,0,2013-12-02,265,1630,83,57,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.506581393222369,-0.4469626815449681,-0.4045653366474418
B110-016,900585,Always,66,1.8031377976559047,F,Black,College Degree,New York,189.44000244142,B110,1,0,0,2013-11-01,234,9610,471,183,Black,0.09249093485669627,-1.3159972322937037,0.029785397268128084,0.22049107130922133,0.4337899229730259,-0.1746800973812681
B110-046,200221,Always,28,-0.8070361087823732,F,Black,Some College,New York,0,B110,1,0,0,2013-12-02,265,27320,1578,824,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,1.8340817162784524,2.9466588229766844,0.9948154452347424
B110-002,900103,Never,72,2.2152705197251064,F,Black,Some College,New York,0,B110,1,0,0,2013-04-01,20,990,40,81,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.5648929693251531,-0.5445718619425808,-0.36077767202531347
B110-013,900114,Never,18,-1.4939239788977094,M,Black,Some College,New York,0,B110,1,0,0,2013-04-01,20,940,51,23,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.5694485612081831,-0.5196020716083078,-0.46659786152879024
B110-048,200223,Sometimes,57,1.184938714552102,F,Black,Some High School,New York,255.59999084477997,B110,1,0,0,2013-12-02,265,7400,360,171,Black,0.2657519982899077,-1.3159972322937037,0.18491034610003185,0.0191339100792947,0.18182203869081626,-0.19657392969233228
B110-040,900146,Always,43,0.2232956963906312,F,Other,High School,New York,299.296,B110,1,0,0,2013-12-02,265,4450,151,471,non-Black,0.38018395628638574,-1.3159972322937037,0.18491034610003185,-0.24964601101947614,-0.2926039776603712,0.35077187808427174
B110-011,900112,Never,21,-1.2878576178631085,F,Black,Some College,New York,0,B110,1,0,0,2013-04-01,20,1250,65,5,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.5412038915333971,-0.4878223384555967,-0.4994386099953865
B110-021,900127,Sometimes,55,1.0475611405290346,F,Black,High School,New York,0,B110,1,0,0,2013-11-01,234,3890,174,199,Black,-0.40361822525500185,-1.3159972322937037,0.029785397268128084,-0.3006686401094123,-0.2403944160523458,-0.1454883209665159
B110-014,900583,Never,47,0.49805084443676567,M,Black,College Degree,New York,0,B110,1,0,0,2013-11-01,234,1400,82,23,Black,-0.40361822525500185,-1.3159972322937037,0.029785397268128084,-0.527537115884307,-0.4492326624844475,-0.46659786152879024
B110-009,900110,Often,43,0.2232956963906312,F,White,Associates Degree,New York,189.44,B110,1,0,0,2013-04-01,20,4420,343,69,non-Black,0.0924909284630581,-1.3159972322937037,-1.041077152732756,-0.2523793661492941,0.14323236271966702,-0.38267150433637764
B110-036,900142,Seldom,62,1.52838264960977,M,Black,High School,New York,94.72,B110,1,0,0,2013-12-02,265,4890,132,567,Black,-0.15556364839597187,-1.3159972322937037,0.18491034610003185,-0.20955680244881203,-0.33573361551047914,0.525922536572785
B110-037,900143,Never,53,0.9101835665059674,F,Black,Some College,New York,1594.1120224000792,B110,1,0,0,2013-12-02,265,29870,1257,1585,Black,3.771073320166706,-1.3159972322937037,0.18491034610003185,2.0664169023129833,2.2179949414038074,2.383249310961394
B110-004,900105,Sometimes,35,-0.3262145997016378,M,Asian,High School,New York,0,B110,1,0,0,2013-04-01,20,1300,54,102,non-Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.5366482996503671,-0.5127921287898697,-0.3224634654809512
B110-018,900124,Never,35,-0.3262145997016378,M,Black,Associates Degree,New York,0,B110,1,0,0,2013-11-01,234,1740,88,37,Black,-0.40361822525500185,-1.3159972322937037,0.029785397268128084,-0.4965590910797029,-0.43561277684757127,-0.44105505716588206
B110-020,900126,Always,39,-0.051459451655503294,M,Other,College Degree,New York,378.88000000000005,B110,1,0,1,2013-11-01,234,6720,317,306,non-Black,0.5886000821811181,-1.3159972322937037,0.029785397268128084,-0.04282213952991349,0.08421285829320352,0.04973168380713952
B110-051,200226,Always,60,1.3910050755867027,M,Black,College Degree,New York,149.21000194551004,B110,1,0,0,2013-12-02,265,28330,1388,1091,Black,-0.012864172301786752,-1.3159972322937037,0.18491034610003185,1.9261046723156587,2.515362444475605,1.48195321415592
B110-008,900109,Sometimes,48,0.5667396314482993,M,Black,Some College,New York,0,B110,1,0,0,2013-04-01,20,970,34,83,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,-0.5667152060783651,-0.558191747579457,-0.35712869997346947
B110-035,900141,Always,40,0.01722933535603033,M,Other,Associates Degree,New York,0,B110,1,0,0,2013-12-02,265,8485,514,122,non-Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,0.11799025394104601,0.5313991033706386,-0.28597374496251093
B110-039,900145,Sometimes,48,0.5667396314482993,M,Asian,Graduate Degree,New York,0,B110,1,0,0,2013-12-02,265,1525,70,71,non-Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.5161481361767319,-0.47647243375819986,-0.3790225322845336
B110-003,900104,Never,56,1.1162499275405684,M,Black,High School,New York,311.11200714114,B110,1,0,0,2013-04-01,20,20160,765,1596,Black,0.41112794542868686,-1.3159972322937037,-1.041077152732756,1.1817209586285544,1.1011643191799594,2.4033186572465364
B110-038,900144,Sometimes,37,-0.18883702567857055,M,Black,Some College,New York,0,B110,1,0,0,2013-12-02,265,5390,300,88,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.16400088361851187,0.045623182322054305,-0.3480062698438594
B110-034,900140,Sometimes,18,-1.4939239788977094,M,Other,High School,New York,0,B110,1,0,0,2013-12-02,265,2530,103.5,121,non-Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.4245807393278287,-0.4004280722856411,-0.28779823098843293
B110-049,200224,Sometimes,47,0.49805084443676567,F,Black,Associates Degree,New York,0,B110,1,0,0,2013-12-02,265,1660,85,71,Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.503848038092551,-0.4424227196660094,-0.3790225322845336
B110-006,900107,Never,35,-0.3262145997016378,F,Black,College Degree,New York,0,B110,1,0,0,2013-04-01,20,9650,481,205,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,0.22413554481564535,0.45648973236781953,-0.13454140481098384
B110-033,900139,Sometimes,34,-0.39490338671317143,M,Asian,Graduate Degree,New York,0,B110,1,0,0,2013-12-02,265,2840,138,41,non-Black,-0.40361822525500185,-1.3159972322937037,0.18491034610003185,-0.3963360696530426,-0.322113729873603,-0.433757113062194
B110-050,200225,Always,60,1.3910050755867027,F,Black,College Degree,New York,259.968,B110,1,0,0,2013-12-02,265,23300,1242,399,Black,0.2771910255567413,-1.3159972322937037,0.18491034610003185,1.4678121288828392,2.183945227311617,0.21940888421788676
B110-017,900123,Sometimes,26,-0.9444136828054404,F,Black,Some High School,New York,0,B110,1,0,0,2013-11-01,234,11810,646,279,Black,-0.40361822525500185,-1.3159972322937037,0.029785397268128084,0.420937114162542,0.8310365873819149,4.70561107245159e-4
B110-010,900111,Never,42,0.15460690937909757,F,Black,High School,New York,0,B110,1,0,0,2013-04-01,20,18080,796,1023,Black,-0.40361822525500185,-1.3159972322937037,-1.041077152732756,0.9922083362945058,1.1715337283038199,1.357888164393223
B127A-002,200188,Never,35,-0.3262145997016378,M,White,College Degree,New York,0,B127A,1,0,0,2013-05-02,51,420,12,46,non-Black,-0.40361822525500185,-1.3159972322937037,-0.8859522039008523,-0.6168267167916953,-0.6081313282480031,-0.42463468293258394
B127A-001,900976,Always,21,-1.2878576178631085,F,White,High School,New York,0,B127A,1,0,0,2013-05-02,51,1360,75,0,non-Black,-0.40361822525500185,-1.3159972322937037,-0.8859522039008523,-0.531181589390731,-0.46512252906080304,-0.5085610401249966
