ROUND	VISIT	NEMSLOCATIONINDICATOR	SINGSERVBEVYN	DIETCOKE12OZYN	DIETCOKE12OZPR	DIETCOKE12OZNOTE	ALTDIET12OZYN	ALTDIET12OZBRAND	ALTDIET12OZPR	ALTDIET12OZNOTE	COKE12OZYN	COKE12OZPR	COKE12OZNOTE	ALTSSB12OZYN	ALTSSB12OZBRAND	ALTSSB12OZPR	ALTSSB12OZNOTE	DIETCOKE16OZYN	DIETCOKE16OZPR	DIETCOKE16OZNOTE	ALTDIET16OZYN	ALTDIET16OZBRAND	ALTDIET16OZPR	ALTDIET16OZNOTE	COKE16OZYN	COKE16OZPR	COKE16OZNOTE	ALTSSB16OZYN	ALTSSB16OZBRAND	ALTSSB16OZPR	ALTSSB16OZNOTE	DIETCOKE20OZYN	DIETCOKE20OZPR	DIETCOKE20OZNOTE	ALTDIET20OZYN	ALTDIET20OZBRAND	ALTDIET20OZPR	ALTDIET20OZNOTE	COKE20OZYN	COKE20OZPR	COKE20OZNOTE	ALTSSB20OZYN	ALTSSB20OZBRAND	ALTSSB20OZPR	ALTSSB20OZNOTE	JUICE152OZYN	JUICE152OZBRAND1	JUICE152OZBRAND2	JUICE152OZBRAND3	JUICE152OZPR	JUICE152OZNOTE	ALTJUICESMSIZEYN	ALTJUICESMSIZEBRAND1	ALTJUICESMSIZEBRAND2	ALTJUICESMSIZEBRAND3	ALTJUICESMSIZEOZ	ALTJUICESMSIZEPR	ALTJUICESMSIZENOTE	JUICEDRNK152OZYN	JUICEDRNK152OZBRAND1	JUICEDRNK152OZBRAND2	JUICEDRNK152OZBRAND3	JUICEDRNK152OZOZ	JUICEDRNK152OZPR	JUICEDRNK152OZNOTE	ALTJUICEDRNKSMSIZEYN	ALTJUICEDRNKSMSIZEBRAND1	ALTJUICEDRNKSMSIZEBRAND2	ALTJUICEDRNKSMSIZEBRAND3	ALTJUICEDRNKSMSIZEPR	ALTJUICEDRNKSMSIZENOTE	BTLWATERYN	NOCARBLOCALYN	NOCARBLOCALCOUNT	MULTISRVYN	DIETCOKE2LYN	DIETCOKE2LPR	DIETCOKE2LNOTE	ALTDIET2LYN	ALTDIET2LBRAND	ALTDIET2LPR	ALTDIET2LNOTE	COKE2LYN	COKE2LPR	COKE2LNOTE	ALTSSB2LYN	ALTSSB2LBRAND	ALTSSB2LPR	ALTSSB2LNOTE	DIETCOKE6PK75OZYN	DIETCOKE6PK75OZPR	DIETCOKE6PK75OZNOTE	ALTDIET6PK75OZYN	ALTDIET6PK75OZBRAND	ALTDIET6PK75OZPR	ALTDIET6PK75OZNOTE	COKE6PK75OZYN	COKE6PK75OZPR	COKE6PK75OZNOTE	ALTSSB6PK75OZYN	ALTSSB6PK75OZBRAND	ALTSSB6PK75OZPR	ALTSSB6PK75OZNOTE	DIETCOKE12PK12OZYN	DIETCOKE12PK12OZPR	DIETCOKE12PK12OZNOTE	ALTDIET12PK12OZYN	ALTDIET12PK12OZBRAND	ALTDIET12PK12OZPR	ALTDIET12PK12OZNOTE	COKE12PK12OZYN	COKE12PK12OZPR	COKE12PK12OZNOTE	ALTSSB12PK12OZYN	ALTSSB12PK12OZBRAND	ALTSSB12PK12OZPR	ALTSSB12PK12OZNOTE	JUICE64OZYN	JUICE64OZBRAND1	JUICE64OZBRAND2	JUICE64OZBRAND3	JUICE64OZPR	JUICE64OZNOTE	ALTJUICE64OZYN	ALTJUICE64OZBRAND1	ALTJUICE64OZBRAND2	ALTJUICE64OZBRAND3	ALTJUICE64OZPR	ALTJUICE64OZNOTE	JUICEDRNK64OZYN	JUICEDRNK64OZBRAND1	JUICEDRNK64OZBRAND2	JUICEDRNK64OZBRAND3	JUICEDRNK64OZPR	JUICEDRNK64OZNOTE	ALTJUICEDRNK64OZYN	ALTJUICEDRNK64OZBRAND1	ALTJUICEDRNK64OZBRAND2	ALTJUICEDRNK64OZBRAND3	ALTJUICEDRNK64OZPR	ALTJUICEDRNK64OZNOTE	MULTISRVBTLWATERYN	MULTISRVNOCARBLOCALYN	MULTISRVNOCARBLOCALCOUNT	STORETYPE	INTLOCATION
1	1	G110	1	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	1	1.79	 	 	 	 	 	1	1.79	 	 	 	 	 	0	 	 	 	 	 	1	 	TROPICANA	 	12	1.89	SALE 4/5.	0	 	 	 	 	 	 	1	 	 	OTHER	1.19	SALE:5/$5.00	1	1	2	1	1	1.99	SALE 1.89	 	 	 	 	1	1.99	SALE 1.89	 	 	 	 	1	4.59	8 PACK, 6.75OZ	 	 	 	 	1	4.59	8 PACK6.75 OZ	 	 	 	 	1	5.49	 	 	 	 	 	1	5.49	 	 	 	 	 	1	MINUTE MAID	 	 	4.19	SALE 2/$6.00	 	 	 	 	 	 	1	MINUTE MAID	 	 	2.39	SALE 2/$3.0	 	 	 	 	 	 	1	1	4	GROCERY	KEY FOOD, 183-14 HILLSIDE AV, QUEENS, INDIV. LOW CAL DRINKS NOT REFRIGERATED BUT IN VIEW NEAR FRONT SHELVES
1	1	G111A	1	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	1	PEPSI	1.25	VENDING MACH. INSIDE STORE	0	 	 	1	PEPSI	1.25	VENDING MACH. INSIDE STORE	0	 	 	 	 	 	1	 	 	OTHER	16	2.5	SALE: 4/$5., IN BACK OF STORE, NOT IN FRIDGE	1	 	 	OTHER	16	2.29	BODY ARMOR JUICE DRINK	 	 	 	 	 	 	1	1	5	1	1	1.79	ON SALE: 4/$5.00	 	 	 	 	1	1.79	ON SALE 4/$5.00	 	 	 	 	1	3.99	8 PACK, 6.75OZ	 	 	 	 	1	3.99	8 PACK6.75 OZ	 	 	 	 	1	5.49	 	 	 	 	 	1	5.49	 	 	 	 	 	1	MINUTE MAID	 	 	3.49	 	 	 	 	 	 	 	1	MINUTE MAID	 	 	2	2/$4; SALE: 5/$5.	 	 	 	 	 	 	1	1	6	GROCERY	44-44 COLLEGE POINT BLVD., QUEENS, LOW CAL DRINKS ONLY ONE IN FROM AREA FRIDGE, OTHERS IN BACK OF STORE
1	1	G112	1	0	 	 	0	 	 	 	0	 	 	1	SEAGRAMS GINGER ALE	.6	WASNT MUCH TO CHOOSE FROM IN TERMS OF SODAS	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	1	1	2	1	1	1.99	THERE WASN'T REALLY A GRAB AND GO SECTION. NOT A REGULAR SUPERMARKET. THEY DID H	 	 	 	 	1	1.99	 	 	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	1	5.5	THERE WERE ALSO 24 PACKS FOR 10.99	 	 	 	 	0	 	 	0	 	 	 	1	 	TROPICANA	 	3.59	 	 	 	 	 	 	 	1	 	 	OTHER	1.19	TROPICAL SPLASH BRAND	 	 	 	 	 	 	1	1	2	GROCERY	OCEAN BAY GROCERY 2424 CONEY ISLAND AVE. BKLYN NY
1	1	G113A	0	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	0	0	0	1	1	1.99	SALE PRICE 4/5.00	 	 	 	 	1	1.99	SALE 4/5.00	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	1	4.99	 	 	 	 	 	1	4.99	 	 	 	 	 	1	MINUTE MAID	TROPICANA	 	 	RANGE 4.99-5.39; MM 59 OZ SALE PRICE = 2/7.00	 	 	 	 	 	 	1	MINUTE MAID	TROPICANA	OTHER	 	RANGE: 1.29-4.69; MM&TROP 59 OZ ONLY, OTHER JUICE DRINKS 64 OZ	 	 	 	 	 	 	1	1	1	GROCERY	FINE FARE SUPERMARKET, 4477 B'DWAY, NEAR DYCKMAN/200 STREET.  AVAILABLE DIET AND REGULAR 20 OZ BOTTLES OF COKE.  SINGLE BEVERAGES, AVAILABLE IN VENDING MACHINES OUTSIDE STORE - ONLY 20 OZ BOTTLES, $1.
1	1	G114	1	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	1	1.5	BOTTLES WERE PRESENT IN VENDING MACHINES NO REGULAR SODA COOLERS	 	 	 	 	1	1.5	BOTTLES IN VENDING MACHINE	 	 	 	 	0	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	1	0	0	1	1	1.99	 	 	 	 	 	1	1.99	 	 	 	 	 	1	3.99	 	 	 	 	 	1	3.99	 	 	 	 	 	1	5.99	 	 	 	 	 	1	5.99	 	 	 	 	 	1	MINUTE MAID	 	 	3.99	 	 	 	 	 	 	 	1	MINUTE MAID	 	 	2.69	 	 	 	 	 	 	 	1	1	6	GROCERY	ASSOCIATED SUPERMARKET 871 FOREST AVENUEBRONX NY BTWN 160TH ST AND 161ST STREET
1	1	G116	1	1	1	JUST ONE CAN IN FRIGE AT MOMENT	 	 	 	 	1	1	 	 	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	1	1.5	2/$3; SALE: $1.39	 	 	 	 	1	1.5	2/$3; SALE: $1.39	 	 	 	 	0	 	 	 	 	 	1	 	 	OTHER	 	 	 	0	 	 	 	 	 	 	1	 	 	OTHER	 	 	1	1	3	1	1	1.79	ON SALE 2/$3.00	 	 	 	 	1	1.79	SALE 2/3.00	 	 	 	 	1	3.99	8 PACK 7.5OZ, 6PK 12 OZ: $3.99	 	 	 	 	1	3.99	6 PK 12 OZ OR 8 PK 7.5	 	 	 	 	1	5.99	ON SALE: $4.99	 	 	 	 	1	5.99	ON SALE: $4.99	 	 	 	 	1	MINUTE MAID	 	 	3.59	59 OZ	 	 	 	 	 	 	1	MINUTE MAID	 	 	2	2/$4; 59 OZ	 	 	 	 	 	 	1	1	3	GROCERY	WESTERN BEEF, 431 W. 16TH ST., NYC
1	2	G116	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	 	 	 	 	 	 	1	2.4	 	 	 	 	 	1	2.4	 	 	 	 	 	1	 	 	OTHER	2.99	NAKED	 	 	 	 	 	 	 	1	 	 	OTHER	15.2	2.99	 	 	 	 	 	 	 	1	1	3	1	1	1.79	 	 	 	 	 	1	1.79	 	 	 	 	 	1	3.99	 	 	 	 	 	1	3.99	 	 	 	 	 	1	5.49	 	 	 	 	 	1	5.49	 	 	 	 	 	1	MINUTE MAID	 	 	1.95	 	 	 	 	 	 	 	1	MINUTE MAID	 	 	1.08	 	 	 	 	 	 	 	1	1	2	GROCERY	WESTERN BEEF
1	1	G117A	1	0	 	 	0	 	 	 	0	 	 	1	ORANGE CRUSH, BRISK ICED TEA	.5	2/$1.00	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	1	 	TROPICANA	 	1.59	 	 	 	 	 	 	 	 	1	 	TROPICANA	 	16	1.29	 	 	 	 	 	 	 	1	1	3	1	1	1.99	 	 	 	 	 	1	1.99	 	 	 	 	 	1	4.99	SALE:$4.59; 8 PACK, 6.75OZ	 	 	 	 	1	4.99	SALE: 4.59, 8 PACK6.75 OZ	 	 	 	 	1	5.99	SALE: $5.49	 	 	 	 	1	5.99	SALA- 5.49	 	 	 	 	1	MINUTE MAID	 	 	4.19	 	 	 	 	 	 	 	1	MINUTE MAID	 	 	2.39	ON SALE: 2/$3.00	 	 	 	 	 	 	1	1	6	GROCERY	BONAVITA - KEY FOOD 751 LYDIG AVE./HOLLAND AV., BX
1	1	G118	1	1	1	 	 	 	 	 	1	1	 	 	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	 	 	 	1	 	 	OTHER	16	4.49	ONLY SINGLE SERVE: POM JUICE	0	 	 	 	 	 	 	1	 	 	OTHER	1.59	MISTIC	1	0	0	1	0	 	 	1	COKE ZERO	2.09	 	1	2.09	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	1	5.49	NOW ON SALE FOR 4.99 SALE PRICE	 	 	 	 	1	 	TROPICANA	 	4.69	AS PER ATTENDANT: 64 OZ AS REQUIRED FOR WIC PROGRAM!!	 	 	 	 	 	 	0	 	 	 	 	 	1	MINUTE MAID	TROPICANA	OTHER	 	RANGE: 1.69-3.89; 59 OZ	1	1	2	GROCERY	BRAVO SPERMARKET , 4261 B'DWAY/181ST
1	1	G124A	1	0	 	 	0	 	 	 	1	.75	 	 	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	0	 	 	 	0	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	1	0	1	1	1	1.99	 	 	 	 	 	1	1.99	 	 	 	 	 	0	 	 	 	 	 	 	0	 	 	 	 	 	 	1	5.49	 	 	 	 	 	1	5.49	 	 	 	 	 	1	MINUTE MAID	TROPICANA	OTHER	5.19	TROPICANA 64 OZ = 5.19; MINUTE MAID 59 OZ SALE PRICE = 2.99; TROPICANA  59 OZ SA	 	 	 	 	 	 	1	MINUTE MAID	TROPICANA	OTHER	 	RANGE: 1.35-1.99	 	 	 	 	 	 	1	1	3	GROCERY	ASSOCIATED SUPERMARKET
